time,record,u,v,w,Tsonica,coderr,voltaje
2012-01-04 01:00:10.55,36882611.0,-1.2,-1.07,-0.38,13.61,0.0,12.0
2012-01-04 01:00:10.6,36882612.0,-1.23,-1.12,-0.35,13.52,0.0,12.0
2012-01-04 01:00:10.65,36882613.0,-1.32,-1.09,-0.13,13.59,0.0,12.0
2012-01-04 01:00:10.7,36882614.0,-1.34,-1.05,-0.11,13.58,0.0,12.0
2012-01-04 01:00:10.75,36882615.0,-1.25,-1.03,-0.13,13.49,0.0,12.0
2012-01-04 01:00:10.8,36882616.0,-1.19,-1.18,-0.06,13.52,0.0,12.0
2012-01-04 01:00:10.85,36882617.0,-1.24,-1.24,-0.03,13.52,0.0,12.0
2012-01-04 01:00:10.9,36882618.0,-1.21,-1.21,-0.04,13.51,0.0,12.0
2012-01-04 01:00:10.95,36882619.0,-1.1,-1.17,-0.02,13.52,0.0,12.0
2012-01-04 01:00:11,36882620.0,-1.15,-1.15,-0.05,13.56,0.0,12.0
2012-01-04 01:00:11.05,36882621.0,-1.11,-1.11,-0.12,13.56,0.0,12.0
2012-01-04 01:00:11.1,36882622.0,-1.17,-1.1,0.0,13.54,0.0,12.0
2012-01-04 01:00:11.15,36882623.0,-1.28,-1.08,-0.06,13.56,0.0,12.0
2012-01-04 01:00:11.2,36882624.0,-1.28,-1.17,-0.06,13.61,0.0,12.0
2012-01-04 01:00:11.25,36882625.0,-1.35,-1.14,-0.1,13.63,0.0,12.0
2012-01-04 01:00:11.3,36882626.0,-1.32,-1.09,-0.06,13.68,0.0,12.0
2012-01-04 01:00:11.35,36882627.0,-1.29,-1.05,-0.06,13.71,0.0,12.0
2012-01-04 01:00:11.4,36882628.0,-1.32,-1.09,-0.13,13.76,0.0,12.0
2012-01-04 01:00:11.45,36882629.0,-1.29,-1.23,-0.07,13.71,0.0,12.0
2012-01-04 01:00:11.5,36882630.0,-1.27,-1.18,-0.11,13.68,0.0,12.0
2012-01-04 01:00:11.55,36882631.0,-1.27,-1.18,-0.11,13.68,0.0,12.0
2012-01-04 01:00:11.6,36882632.0,-1.32,-1.18,-0.12,13.66,0.0,12.0
2012-01-04 01:00:11.65,36882633.0,-1.39,-1.14,-0.12,13.66,0.0,12.0
2012-01-04 01:00:11.7,36882634.0,-1.34,-1.12,-0.17,13.61,0.0,12.0
2012-01-04 01:00:11.75,36882635.0,-1.46,-0.94,-0.25,13.58,0.0,12.0
2012-01-04 01:00:11.8,36882636.0,-1.41,-1.02,-0.31,13.58,0.0,12.0
2012-01-04 01:00:11.85,36882637.0,-1.44,-1.05,-0.27,13.56,0.0,12.0
2012-01-04 01:00:11.9,36882638.0,-1.46,-1.06,-0.21,13.52,0.0,12.0
2012-01-04 01:00:11.95,36882639.0,-1.37,-1.08,-0.14,13.52,0.0,12.0
2012-01-04 01:00:12,36882640.0,-1.34,-1.03,-0.18,13.49,0.0,12.0
2012-01-04 01:00:12.05,36882641.0,-1.25,-1.03,-0.13,13.49,0.0,12.0
2012-01-04 01:00:12.1,36882642.0,-1.19,-1.12,-0.19,13.49,0.0,12.0
2012-01-04 01:00:12.15,36882643.0,-1.14,-1.08,-0.17,13.44,0.0,12.0
2012-01-04 01:00:12.2,36882644.0,-1.25,-1.03,-0.13,13.49,0.0,12.0
2012-01-04 01:00:12.25,36882645.0,-1.26,-1.08,-0.24,13.47,0.0,12.0
2012-01-04 01:00:12.3,36882646.0,-1.24,-1.04,-0.27,13.49,0.0,12.0
2012-01-04 01:00:12.35,36882647.0,-1.21,-1.05,-0.17,13.44,0.0,12.0
2012-01-04 01:00:12.4,36882648.0,-1.21,-1.0,-0.22,13.44,0.0,12.0
2012-01-04 01:00:12.45,36882649.0,-1.08,-1.08,-0.3,13.47,0.0,12.0
2012-01-04 01:00:12.5,36882650.0,-1.12,-1.12,-0.2,13.42,0.0,12.0
2012-01-04 01:00:12.55,36882651.0,-1.14,-1.08,-0.17,13.44,0.0,12.0
2012-01-04 01:00:12.6,36882652.0,-1.12,-1.12,-0.2,13.42,0.0,12.0
2012-01-04 01:00:12.65,36882653.0,-1.12,-1.12,-0.2,13.42,0.0,12.0
2012-01-04 01:00:12.7,36882654.0,-1.14,-1.08,-0.17,13.44,0.0,12.0
2012-01-04 01:00:12.75,36882655.0,-1.15,-1.15,-0.24,13.47,0.0,12.0
2012-01-04 01:00:12.8,36882656.0,-1.09,-1.16,-0.15,13.52,0.0,12.0
2012-01-04 01:00:12.85,36882657.0,-1.09,-1.16,-0.15,13.52,0.0,12.0
2012-01-04 01:00:12.9,36882658.0,-1.13,-1.07,-0.18,13.61,0.0,12.0
2012-01-04 01:00:12.95,36882659.0,-1.05,-1.03,-0.18,13.66,0.0,12.0
2012-01-04 01:00:13,36882660.0,-1.03,-1.0,-0.13,13.71,0.0,12.0
2012-01-04 01:00:13.05,36882661.0,-0.98,-0.98,-0.18,13.71,0.0,12.0
2012-01-04 01:00:13.1,36882662.0,-0.9,-0.99,-0.19,13.64,0.0,12.0
2012-01-04 01:00:13.15,36882663.0,-0.92,-1.03,-0.17,13.56,0.0,12.0
2012-01-04 01:00:13.2,36882664.0,-0.89,-1.07,-0.18,13.47,0.0,12.0
2012-01-04 01:00:13.25,36882665.0,-0.97,-1.03,-0.18,13.58,0.0,12.0
2012-01-04 01:00:13.3,36882666.0,-0.92,-1.03,-0.17,13.61,0.0,12.0
2012-01-04 01:00:13.35,36882667.0,-0.96,-1.09,-0.14,13.52,0.0,12.0
2012-01-04 01:00:13.4,36882668.0,-0.96,-1.09,-0.14,13.52,0.0,12.0
2012-01-04 01:00:13.45,36882669.0,-1.03,-1.03,-0.13,13.52,0.0,12.0
2012-01-04 01:00:13.5,36882670.0,-1.18,-1.11,-0.06,13.63,0.0,12.0
2012-01-04 01:00:13.55,36882671.0,-1.15,-1.09,-0.1,13.68,0.0,12.0
2012-01-04 01:00:13.6,36882672.0,-1.18,-1.11,-0.06,13.63,0.0,12.0
2012-01-04 01:00:13.65,36882673.0,-1.15,-1.09,-0.1,13.68,0.0,12.0
2012-01-04 01:00:13.7,36882674.0,-1.12,-1.12,-0.13,13.66,0.0,12.0
2012-01-04 01:00:13.75,36882675.0,-1.15,-1.15,-0.1,13.63,0.0,12.0
2012-01-04 01:00:13.8,36882676.0,-1.18,-1.17,-0.12,13.61,0.0,12.0
2012-01-04 01:00:13.85,36882677.0,-1.13,-1.13,-0.06,13.58,0.0,12.0
