"TOA5","42214","CR1000","42214","CR1000.Std.22","CPU:MAIZ_PIPE_SLOWSEQ_visto_corto.CR1","14486","Table2"
"TIMESTAMP","RECORD","u","v","w","Tsonica","coderr","vol"
"TS","RN","m/s","m/s","m/s","Deg C","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2012-01-04 12:27:27.9",37704286.00,1.63,-4.46,-0.74,28.43,0.00,14.90
"2012-01-04 12:27:27.95",37704287.00,1.56,-4.43,-0.26,28.86,0.00,14.90
"2012-01-04 12:27:28",37704288.00,1.78,-3.77,-1.07,28.25,0.00,14.90
"2012-01-04 12:27:28.05",37704289.00,2.45,-3.96,-0.58,28.43,0.00,14.90
"2012-01-04 12:27:28.1",37704290.00,2.63,-3.53,0.13,28.40,0.00,14.90
"2012-01-04 12:27:28.15",37704291.00,2.51,-3.12,-0.15,28.55,0.00,14.90
"2012-01-04 12:27:28.2",37704292.00,2.60,-2.87,-0.74,28.27,0.00,14.90
"2012-01-04 12:27:28.25",37704293.00,1.49,-2.46,-0.86,28.10,0.00,14.90
"2012-01-04 12:27:28.3",37704294.00,2.01,-3.06,0.27,28.20,0.00,14.90
"2012-01-04 12:27:28.35",37704295.00,2.52,-3.35,0.57,28.28,0.00,14.90
"2012-01-04 12:27:28.4",37704296.00,2.82,-4.12,0.28,28.43,0.00,14.90
"2012-01-04 12:27:28.45",37704297.00,2.77,-4.50,0.04,28.30,0.00,14.90
"2012-01-04 12:27:28.5",37704298.00,2.56,-3.85,-0.02,28.50,0.00,14.90
"2012-01-04 12:27:28.55",37704299.00,2.95,-3.56,-0.41,28.54,0.00,14.90
"2012-01-04 12:27:28.6",37704300.00,3.36,-3.74,-0.21,28.72,0.00,14.90
"2012-01-04 12:27:28.65",37704301.00,3.34,-3.59,-0.33,28.64,0.00,14.90
"2012-01-04 12:27:28.7",37704302.00,3.46,-3.60,0.41,28.50,0.00,14.90
"2012-01-04 12:27:28.75",37704303.00,3.75,-4.62,-0.14,28.53,0.00,14.90
"2012-01-04 12:27:28.8",37704304.00,3.70,-4.24,-0.51,28.49,0.00,14.90
"2012-01-04 12:27:28.85",37704305.00,3.60,-3.52,-0.27,28.50,0.00,14.90
"2012-01-04 12:27:28.9",37704306.00,3.43,-3.62,-0.02,28.55,0.00,14.90
"2012-01-04 12:27:28.95",37704307.00,3.70,-3.76,-0.02,28.54,0.00,14.90
"2012-01-04 12:27:29",37704308.00,4.03,-3.67,-0.37,28.54,0.00,14.90
"2012-01-04 12:27:29.05",37704309.00,4.09,-3.30,-0.35,28.54,0.00,14.90
"2012-01-04 12:27:29.1",37704310.00,3.83,-3.01,0.38,28.51,0.00,14.90
"2012-01-04 12:27:29.15",37704311.00,3.75,-2.89,-0.09,28.24,0.00,14.90
"2012-01-04 12:27:29.2",37704312.00,3.87,-2.53,-0.78,28.15,0.00,14.90
"2012-01-04 12:27:29.25",37704313.00,3.91,-2.48,-1.01,27.96,0.00,14.90
"2012-01-04 12:27:29.3",37704314.00,4.17,-2.41,-0.63,28.41,0.00,14.90
"2012-01-04 12:27:29.35",37704315.00,4.29,-2.48,-0.10,28.65,0.00,14.90
"2012-01-04 12:27:29.4",37704316.00,4.03,-2.11,-0.47,28.37,0.00,14.90
"2012-01-04 12:27:29.45",37704317.00,4.03,-1.98,-0.78,28.35,0.00,14.90
"2012-01-04 12:27:29.5",37704318.00,3.23,-2.33,-0.43,28.46,0.00,14.90
"2012-01-04 12:27:29.55",37704319.00,3.70,-1.88,-0.16,28.63,0.00,14.90
"2012-01-04 12:27:29.6",37704320.00,3.99,-1.74,-0.72,28.35,0.00,14.90
"2012-01-04 12:27:29.65",37704321.00,3.43,-1.62,-1.00,27.89,0.00,14.90
"2012-01-04 12:27:29.7",37704322.00,3.48,-1.51,-0.60,28.37,0.00,14.90
"2012-01-04 12:27:29.75",37704323.00,3.43,-1.30,-1.01,28.36,0.00,14.90
"2012-01-04 12:27:29.8",37704324.00,3.60,-1.51,-1.02,27.98,0.00,14.90
"2012-01-04 12:27:29.85",37704325.00,3.63,-1.45,-0.72,27.98,0.00,14.90
"2012-01-04 12:27:29.9",37704326.00,3.72,-1.23,-0.55,28.27,0.00,14.90
"2012-01-04 12:27:29.95",37704327.00,4.02,-0.88,-0.32,29.16,0.00,14.90
"2012-01-04 12:27:30",37704328.00,4.29,-0.75,-0.31,28.16,0.00,14.90
"2012-01-04 12:27:30.05",37704329.00,4.24,-1.28,-0.10,27.93,0.00,14.90
"2012-01-04 12:27:30.1",37704330.00,4.11,-1.14,-0.14,27.90,0.00,14.90
"2012-01-04 12:27:30.15",37704331.00,3.86,-1.22,-0.52,27.97,0.00,14.90
"2012-01-04 12:27:30.2",37704332.00,3.44,-1.20,-0.65,27.98,0.00,14.90
"2012-01-04 12:27:30.25",37704333.00,3.38,-1.29,-0.32,28.01,0.00,14.90
"2012-01-04 12:27:30.3",37704334.00,3.04,-1.10,-0.21,28.19,0.00,14.90
"2012-01-04 12:27:30.35",37704335.00,2.83,-1.10,-0.01,28.14,0.00,14.90
"2012-01-04 12:27:30.4",37704336.00,3.12,-1.26,-0.04,28.05,0.00,14.90
"2012-01-04 12:27:30.45",37704337.00,2.89,-1.29,-0.10,28.05,0.00,14.90
"2012-01-04 12:27:30.5",37704338.00,2.70,-1.28,-0.05,27.98,0.00,14.90
"2012-01-04 12:27:30.55",37704339.00,2.68,-1.17,0.05,27.98,0.00,14.90
"2012-01-04 12:27:30.6",37704340.00,2.73,-1.26,0.24,27.95,0.00,14.90
"2012-01-04 12:27:30.65",37704341.00,2.96,-1.41,0.05,28.11,0.00,14.90
"2012-01-04 12:27:30.7",37704342.00,2.99,-1.66,-0.13,28.11,0.00,14.90
"2012-01-04 12:27:30.75",37704343.00,3.13,-1.63,-0.19,28.11,0.00,14.90
"2012-01-04 12:27:30.8",37704344.00,2.75,-1.83,-0.06,28.11,0.00,14.90
"2012-01-04 12:27:30.85",37704345.00,2.67,-1.77,-0.12,28.14,0.00,14.90
"2012-01-04 12:27:30.9",37704346.00,2.82,-1.79,-0.13,28.08,0.00,14.90
"2012-01-04 12:27:30.95",37704347.00,2.89,-1.74,-0.13,28.08,0.00,14.90
"2012-01-04 12:27:31",37704348.00,2.84,-1.74,-0.13,28.11,0.00,14.90
"2012-01-04 12:27:31.05",37704349.00,2.85,-1.66,-0.14,28.17,0.00,14.90
"2012-01-04 12:27:31.1",37704350.00,2.62,-1.62,-0.06,28.14,0.00,14.90
"2012-01-04 12:27:31.15",37704351.00,2.73,-1.54,0.13,28.12,0.00,14.90
"2012-01-04 12:27:31.2",37704352.00,2.85,-1.36,-0.12,28.14,0.00,14.90
"2012-01-04 12:27:31.25",37704353.00,2.85,-1.36,-0.12,28.14,0.00,14.90
"2012-01-04 12:27:31.3",37704354.00,2.78,-1.26,-0.05,28.10,0.00,14.90
"2012-01-04 12:27:31.35",37704355.00,2.79,-1.54,-0.07,28.07,0.00,14.90
"2012-01-04 12:27:31.4",37704356.00,2.80,-1.66,-0.12,28.10,0.00,14.90
"2012-01-04 12:27:31.45",37704357.00,2.82,-1.79,0.02,28.08,0.00,14.90
"2012-01-04 12:27:31.5",37704358.00,2.80,-1.66,0.05,28.10,0.00,14.90
"2012-01-04 12:27:31.55",37704359.00,2.70,-1.90,0.07,28.03,0.00,14.90
"2012-01-04 12:27:31.6",37704360.00,2.67,-1.77,0.03,28.14,0.00,14.90
"2012-01-04 12:27:31.65",37704361.00,3.09,-1.42,-0.03,28.10,0.00,14.90
